"Approach" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_training" "Specificity_training" "Sensitivity_training" "MCC_training" "Accuracy_validation" "Specificity_validation" "Sensitivity_validation" "MCC_validation" "NbVarSelected" "NbVarInf" "VarSelected" "AIC" "coef_estimate" "std_estimate"
"571" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.761 0.781553398058252 0.739175257731959 0.521371961542981 0.7655 0.786157024793388 0.746124031007752 0.532149230188641 1 1 "x1" 1945.2345649978 "1.82898858153996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0843905202119628;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"572" "SVM-RFE" 0.76 0.727272727272727 1 0.492365963917331 0.852 0.858252427184466 0.845360824742268 0.70370341287911 0.8635 0.860537190082645 0.866279069767442 0.726749697137686 9 3 "Noise1;Noise16;Noise17;Noise20;Noise22;Noise6;x1;x2;x3" 1317.79451424724 "2.81367792208173;-1.97127869333614;0.533286325427776;0.14184293582727;NA;NA;NA;NA;-0.144184667248534;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0916838127299019;-0.109110878030082;NA;NA;0.102765586393411;NA;0.0669871213281099" "0.13380087488587;0.107987420851834;0.0739583917668289;0.0684501440028027;NA;NA;NA;NA;0.071806866868918;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0727926931908047;0.0702766317260732;NA;NA;0.0699795393392693;NA;0.0695603175436559"
"573" "GAMMA_BACK" 1 1 1 1 0.8445 0.851456310679612 0.837113402061856 0.688681733444207 0.866 0.865702479338843 0.866279069767442 0.731817472352419 3 3 "x1;x2;x3" 1320.18179516286 "2.77549552559901;-1.93678226294212;0.52765525989484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.131799454063307;0.106132390205439;0.0730876179731208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"574" "GAMMA_BF" 1 1 1 1 0.8445 0.851456310679612 0.837113402061856 0.688681733444207 0.866 0.865702479338843 0.866279069767442 0.731817472352419 3 3 "x1;x2;x3" 1320.18179516286 "2.77549552559901;-1.93678226294212;0.52765525989484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.131799454063307;0.106132390205439;0.0730876179731208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"575" "GAMMA_FORW" 1 1 1 1 0.8445 0.851456310679612 0.837113402061856 0.688681733444207 0.866 0.865702479338843 0.866279069767442 0.731817472352419 3 3 "x1;x2;x3" 1320.18179516286 "2.77549552559901;-1.93678226294212;0.52765525989484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.131799454063307;0.106132390205439;0.0730876179731208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"576" "GAMMA_HC" 1 1 1 1 0.8445 0.851456310679612 0.837113402061856 0.688681733444207 0.866 0.865702479338843 0.866279069767442 0.731817472352419 3 3 "x1;x2;x3" 1320.18179516286 "2.77549552559901;-1.93678226294212;0.52765525989484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.131799454063307;0.106132390205439;0.0730876179731208;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"577" "BASELINE" 0.12 0 1 0 0.852 0.851042701092353 0.852970795568983 0.703999416123872 0.8595 0.855691056910569 0.863188976377953 0.718917787128393 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1282.31898811458 "3.23913849143786;-2.05336081248995;0.4939255494211;-0.0767418416696292;0.0412487174861113;-0.0396571195027386;0.0198619373372809;-0.0888853610176487;0.006597561438849;0.0619195702059122;0.0579585482575178;0.0799572440190032;0.0721687986403401;-0.0905172391689538;-0.0338900066274645;0.022718932985057;0.054961984704807;0.0347123441660866;-0.00682073132905658;0.00910001821895192;-0.0520093514801684;-0.0331797582547485;0.00675449921011703;-0.0794409943652069;0.0260326135577655" "0.156653153552021;0.114744216358458;0.0770091292001343;0.0763562679819262;0.073885727784341;0.076365691646491;0.0753298153740775;0.0739962839361882;0.072748863818924;0.0722118070717089;0.0713797986473644;0.0728964277634077;0.0736125728295801;0.0707854824597158;0.0718558143924896;0.0710352030078351;0.0744486113261891;0.0722017500997972;0.070577599516202;0.0718725771108098;0.0716153624454731;0.0740359505350237;0.0729795791248535;0.0720493344143413;0.0735450970270525"
"578" "BEST" 1 1 1 1 0.849 0.845084409136048 0.852970795568983 0.698041243335669 0.8665 0.86280487804878 0.87007874015748 0.732922107480528 3 3 "x1;x2;x3" 1249.59228308449 "3.19610896004926;-2.02213883330914;0.480634752481475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153449788996266;0.112647848377524;0.0755146814041303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"579" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.848 0.847070506454816 0.848942598187311 0.695999184115543 0.8635 0.859756097560976 0.867125984251969 0.726920255901041 2 2 "x1;x2" 1290.4915599724 "3.09464564763381;-1.96256060251605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147024408464938;0.108445466588488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"580" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.848 0.847070506454816 0.848942598187311 0.695999184115543 0.8635 0.859756097560976 0.867125984251969 0.726920255901041 2 2 "x1;x2" 1290.4915599724 "3.09464564763381;-1.96256060251605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147024408464938;0.108445466588488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"581" "CONS" 1 1 1 1 0.849 0.845084409136048 0.852970795568983 0.698041243335669 0.8665 0.86280487804878 0.87007874015748 0.732922107480528 3 3 "x1;x2;x3" 1249.59228308449 "3.19610896004926;-2.02213883330914;0.480634752481475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153449788996266;0.112647848377524;0.0755146814041303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"582" "IGR" 0.96 1 0.666666666666667 0.798549409504691 0.848 0.847070506454816 0.848942598187311 0.695999184115543 0.8635 0.859756097560976 0.867125984251969 0.726920255901041 2 2 "x1;x2" 1290.4915599724 "3.09464564763381;-1.96256060251605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147024408464938;0.108445466588488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"583" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.7715 0.775571002979146 0.767371601208459 0.542968397062912 0.771 0.765243902439024 0.776574803149606 0.541857730740639 1 1 "x1" 1877.91597122527 "2.01493575021957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0920671875263687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"584" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.848 0.847070506454816 0.848942598187311 0.695999184115543 0.8635 0.859756097560976 0.867125984251969 0.726920255901041 2 2 "x1;x2" 1290.4915599724 "3.09464564763381;-1.96256060251605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147024408464938;0.108445466588488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"585" "RELIEF" 0.2 0.0909090909090909 1 0.108893101296094 0.8505 0.851042701092353 0.849949647532729 0.700987791995969 0.8625 0.858739837398374 0.866141732283465 0.724919638707879 23 3 "Noise20;Noise5;Noise8;x3;Noise18;x2;Noise22;Noise12;Noise7;Noise13;Noise2;Noise4;x1;Noise1;Noise9;Noise19;Noise10;Noise6;Noise21;Noise16;Noise14;Noise17;Noise3" 1280.17282573008 "3.2346752517001;-2.04394901614542;0.493461529901875;-0.0671116348241565;0.0402968883530885;-0.0334296991854853;0.0206840021717799;-0.0931815472073655;0.00173672106033255;0.0602736902427177;0.0594893313953599;0.0842807721960758;0.0736038916821346;NA;-0.0332746988701669;0.0215152688334479;0.051293299138043;NA;-0.00517092632953736;0.0114347403167417;-0.0508039078649698;-0.0308863183173937;0.00387191898066569;-0.0789212002251559;0.0297124993303902" "0.156365058518865;0.114145687873163;0.0768391066932818;0.0759773693150682;0.0737472999967748;0.0761585411830641;0.0753590351421177;0.0738956176101793;0.0725011245572479;0.0721463778194988;0.0713333687431785;0.0726381509105503;0.073547119429377;NA;0.0715655583841489;0.0708855647813669;0.0743306953003226;NA;0.0705639266557213;0.0718223711118949;0.071525545078244;0.0739119724146637;0.0727064668023985;0.0719350515045998;0.0733871634078917"
"586" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.848 0.847070506454816 0.848942598187311 0.695999184115543 0.8635 0.859756097560976 0.867125984251969 0.726920255901041 2 2 "x1;x2" 1290.4915599724 "3.09464564763381;-1.96256060251605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.147024408464938;0.108445466588488;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"587" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.7715 0.775571002979146 0.767371601208459 0.542968397062912 0.771 0.765243902439024 0.776574803149606 0.541857730740639 1 1 "x1" 1877.91597122527 "2.01493575021957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0920671875263687;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"588" "SVM-RFE" 0.96 0.954545454545455 1 0.846114112226649 0.8485 0.848063555114201 0.848942598187311 0.696994652421085 0.866 0.861788617886179 0.87007874015748 0.731920071681271 4 3 "Noise1;x1;x2;x3" 1250.77462768289 "3.19513035574519;-2.02017028625111;0.483235521010976;-0.0679620554479898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153329650270204;0.112611277555832;0.0756170751691161;0.0751766653906916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"589" "GAMMA_BACK" 1 1 1 1 0.849 0.845084409136048 0.852970795568983 0.698041243335669 0.8665 0.86280487804878 0.87007874015748 0.732922107480528 3 3 "x1;x2;x3" 1249.59228308449 "3.19610896004926;-2.02213883330914;0.480634752481475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153449788996266;0.112647848377524;0.0755146814041303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"590" "GAMMA_BF" 1 1 1 1 0.849 0.845084409136048 0.852970795568983 0.698041243335669 0.8665 0.86280487804878 0.87007874015748 0.732922107480528 3 3 "x1;x2;x3" 1249.59228308449 "3.19610896004926;-2.02213883330914;0.480634752481475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153449788996266;0.112647848377524;0.0755146814041303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"591" "GAMMA_FORW" 1 1 1 1 0.849 0.845084409136048 0.852970795568983 0.698041243335669 0.8665 0.86280487804878 0.87007874015748 0.732922107480528 3 3 "x1;x2;x3" 1249.59228308449 "3.19610896004926;-2.02213883330914;0.480634752481475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153449788996266;0.112647848377524;0.0755146814041303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"592" "GAMMA_HC" 1 1 1 1 0.849 0.845084409136048 0.852970795568983 0.698041243335669 0.8665 0.86280487804878 0.87007874015748 0.732922107480528 3 3 "x1;x2;x3" 1249.59228308449 "3.19610896004926;-2.02213883330914;0.480634752481475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153449788996266;0.112647848377524;0.0755146814041303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"593" "BASELINE" 0.12 0 1 0 0.8695 0.861507128309572 0.87721021611002 0.738908438867792 0.8445 0.852105778648384 0.836567926455567 0.688831879928137 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1205.12374647675 "3.25736900650029;-2.21072499794026;0.668653248973143;0.1637333488551;-0.0615219109933338;0.0304195883009897;-0.086134940300122;0.053177474594053;0.0578433460026452;-0.0416016664949175;-0.0473089602597112;0.054223892749265;0.0301052365783961;0.0882843121677098;0.000461443864493242;0.0269349494858777;-0.00414404657714877;-0.0158723212680896;0.0024089330495433;0.0241838246933584;-0.0720714980840742;0.0543498347856945;0.0329575146432418;0.0648286408595829;-0.043344379214842" "0.156187878930176;0.121716098207786;0.0815757208386303;0.0741535503286833;0.07779831387678;0.0737166707937761;0.071251491714737;0.074451466958126;0.0765738569168552;0.0748408559429222;0.0753873528626336;0.0765502122932298;0.0753554534584792;0.07730477181634;0.0755823132845504;0.0754453889811892;0.0794886124425398;0.0730127736307116;0.0789214083455112;0.0732325767044708;0.076163552696172;0.0763984675616308;0.0743734423765932;0.0755969768837447;0.076831725457429"
"594" "BEST" 1 1 1 1 0.868 0.868635437881874 0.867387033398821 0.735956216736037 0.8445 0.847208619000979 0.84167517875383 0.688869669840978 3 3 "x1;x2;x3" 1174.8495706492 "3.20157050715162;-2.19874866682604;0.661642052936175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.152486122979414;0.120019393632497;0.0801589125883712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"595" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.8595 0.860488798370672 0.858546168958743 0.718961972743223 0.841 0.844270323212537 0.83758937691522 0.681859700127756 2 2 "x1;x2" 1248.25021427865 "3.00090665723896;-2.0764798409443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.14110529737845;0.111976594984655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"596" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.8595 0.860488798370672 0.858546168958743 0.718961972743223 0.841 0.844270323212537 0.83758937691522 0.681859700127756 2 2 "x1;x2" 1248.25021427865 "3.00090665723896;-2.0764798409443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.14110529737845;0.111976594984655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"597" "CONS" 1 1 1 1 0.868 0.868635437881874 0.867387033398821 0.735956216736037 0.8445 0.847208619000979 0.84167517875383 0.688869669840978 3 3 "x1;x2;x3" 1174.8495706492 "3.20157050715162;-2.19874866682604;0.661642052936175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.152486122979414;0.120019393632497;0.0801589125883712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"598" "IGR" 0.92 1 0.333333333333333 0.552770798392567 0.773 0.758655804480652 0.786836935166994 0.545798571594233 0.758 0.759059745347698 0.756894790602656 0.515884349498951 1 1 "x1" 1901.37294624072 "1.89651672288822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0865429052854185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"599" "IG" 0.92 1 0.333333333333333 0.552770798392567 0.773 0.758655804480652 0.786836935166994 0.545798571594233 0.758 0.759059745347698 0.756894790602656 0.515884349498951 1 1 "x1" 1901.37294624072 "1.89651672288822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0865429052854185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"600" "ONER" 0.96 1 0.666666666666667 0.798549409504691 0.8595 0.860488798370672 0.858546168958743 0.718961972743223 0.841 0.844270323212537 0.83758937691522 0.681859700127756 2 2 "x1;x2" 1248.25021427865 "3.00090665723896;-2.0764798409443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.14110529737845;0.111976594984655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"601" "RELIEF" 0.92 1 0.333333333333333 0.552770798392567 0.773 0.758655804480652 0.786836935166994 0.545798571594233 0.758 0.759059745347698 0.756894790602656 0.515884349498951 1 1 "x1" 1901.37294624072 "1.89651672288822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0865429052854185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"602" "RFI" 0.96 1 0.666666666666667 0.798549409504691 0.8595 0.860488798370672 0.858546168958743 0.718961972743223 0.841 0.844270323212537 0.83758937691522 0.681859700127756 2 2 "x1;x2" 1248.25021427865 "3.00090665723896;-2.0764798409443;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.14110529737845;0.111976594984655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"603" "SU" 0.92 1 0.333333333333333 0.552770798392567 0.773 0.758655804480652 0.786836935166994 0.545798571594233 0.758 0.759059745347698 0.756894790602656 0.515884349498951 1 1 "x1" 1901.37294624072 "1.89651672288822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.0865429052854185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"604" "SVM-RFE" 0.96 0.954545454545455 1 0.846114112226649 0.871 0.867617107942974 0.87426326129666 0.741908571438713 0.8435 0.846229187071499 0.840653728294178 0.686868828486768 4 3 "Noise1;x1;x2;x3" 1171.98305582263 "3.22287647267378;-2.20872596829663;0.664974281445937;0.16018289322756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.153731830000145;0.120602116730145;0.0803801799298162;0.0728388193244416;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"605" "GAMMA_BACK" 1 1 1 1 0.868 0.868635437881874 0.867387033398821 0.735956216736037 0.8445 0.847208619000979 0.84167517875383 0.688869669840978 3 3 "x1;x2;x3" 1174.8495706492 "3.20157050715162;-2.19874866682604;0.661642052936175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.152486122979414;0.120019393632497;0.0801589125883712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"606" "GAMMA_BF" 1 1 1 1 0.868 0.868635437881874 0.867387033398821 0.735956216736037 0.8445 0.847208619000979 0.84167517875383 0.688869669840978 3 3 "x1;x2;x3" 1174.8495706492 "3.20157050715162;-2.19874866682604;0.661642052936175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.152486122979414;0.120019393632497;0.0801589125883712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"607" "GAMMA_FORW" 1 1 1 1 0.868 0.868635437881874 0.867387033398821 0.735956216736037 0.8445 0.847208619000979 0.84167517875383 0.688869669840978 3 3 "x1;x2;x3" 1174.8495706492 "3.20157050715162;-2.19874866682604;0.661642052936175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.152486122979414;0.120019393632497;0.0801589125883712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"608" "GAMMA_HC" 1 1 1 1 0.868 0.868635437881874 0.867387033398821 0.735956216736037 0.8445 0.847208619000979 0.84167517875383 0.688869669840978 3 3 "x1;x2;x3" 1174.8495706492 "3.20157050715162;-2.19874866682604;0.661642052936175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.152486122979414;0.120019393632497;0.0801589125883712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"609" "BASELINE" 0.12 0 1 0 0.862 0.870243902439024 0.853333333333333 0.723794542552772 0.852 0.867446393762183 0.835728952772074 0.703817956078038 25 3 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22" 1282.08197707524 "3.09020061020242;-2.10625144390705;0.640498208712224;0.0344760771126823;-0.049293638643395;0.0491951618919863;-0.00722307787065985;-0.107299172124953;-0.081131475063616;-0.0190580379176869;-0.00466185861665261;-0.0878492720203926;0.0406415536990996;-0.095288166002899;0.136477022791826;0.0141419842377802;0.007182169745657;-0.0501076155793216;-0.00472946744898238;-0.0157361308246651;0.022014500999419;-0.0178240941701772;0.0404747823624854;-0.0333433762968798;0.0267806413746678" "0.150462745625752;0.112000086411354;0.0758622055196273;0.0716018032291764;0.0729550845465337;0.0728894779741553;0.0696996328243352;0.0726546695230992;0.0726468435820787;0.0722398444072836;0.0698716675935008;0.0738120678637067;0.0746082522728698;0.0722102109468558;0.0726422269155902;0.0701354288922357;0.0750261562991475;0.0719707347175321;0.0737414020239397;0.0727488622116049;0.0707318737373219;0.0741639556944847;0.0722738560295328;0.07440793330519;0.0739209710972217"
"610" "BEST" 1 1 1 1 0.8675 0.878048780487805 0.856410256410256 0.734817571963057 0.8545 0.869395711500975 0.838809034907598 0.708816778666889 3 3 "x1;x2;x3" 1251.12282326997 "3.06727601393549;-2.08187432508306;0.623419072495826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148366798449172;0.110208164382772;0.0745422598179276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"611" "CFS" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.860487804878049 0.847179487179487 0.707786284519831 0.8465 0.8635477582846 0.828542094455852 0.692829650373597 2 2 "x1;x2" 1325.31238677316 "2.87630193985894;-1.96107567204779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13772469032823;0.103483987497304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"612" "CHI2" 0.96 1 0.666666666666667 0.798549409504691 0.854 0.860487804878049 0.847179487179487 0.707786284519831 0.8465 0.8635477582846 0.828542094455852 0.692829650373597 2 2 "x1;x2" 1325.31238677316 "2.87630193985894;-1.96107567204779;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.13772469032823;0.103483987497304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
"613" "CONS" 1 1 1 1 0.8675 0.878048780487805 0.856410256410256 0.734817571963057 0.8545 0.869395711500975 0.838809034907598 0.708816778666889 3 3 "x1;x2;x3" 1251.12282326997 "3.06727601393549;-2.08187432508306;0.623419072495826;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA" "0.148366798449172;0.110208164382772;0.0745422598179276;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA"
